Epoch,Train Loss,Val Loss
1,2.112155,1.995787
2,1.136359,1.574893
3,0.791509,1.312658
4,0.642452,1.169953
5,0.565720,1.094167
6,0.523480,1.077706
7,0.499908,1.041873
8,0.481976,1.047804
9,0.470358,1.028783
10,0.459028,1.026640
11,0.449759,1.032537
12,0.442398,1.018314
13,0.435070,1.003432
14,0.427959,1.006579
15,0.421927,1.008803
16,0.415929,1.017568
17,0.412051,1.006769
18,0.406775,0.985612
19,0.401804,1.013672
20,0.398000,0.995810
21,0.393154,1.011066
22,0.390276,0.987994
23,0.385895,0.980098
24,0.382139,1.002413
25,0.378359,1.008735
26,0.375296,1.034344
27,0.373609,0.975763
28,0.370198,1.004194
29,0.368158,0.999091
30,0.365757,1.013773
31,0.363244,1.019379
32,0.362119,1.007268
33,0.359593,1.010668
34,0.346521,1.031460
35,0.342290,1.019841
36,0.340392,1.044100
