Epoch,Train Loss,Val MRR (No Oracle),Val MRR (Oracle)
1,5.924411,,
2,5.812784,,
3,5.769201,,
4,5.742199,,
5,5.720428,0.832639,0.889623
6,5.703876,,
7,5.690843,,
8,5.678269,,
9,5.665698,,
10,5.654256,0.842217,0.889821
11,5.644447,,
12,5.636581,,
13,5.629830,,
14,5.623959,,
15,5.619119,0.841119,0.890504
16,5.614863,,
17,5.611343,,
18,5.608244,,
19,5.605414,,
20,5.603016,0.838595,0.890870
21,5.600766,,
22,5.598649,,
23,5.596838,,
24,5.595116,,
25,5.593421,0.836180,0.891366
26,5.591911,,
27,5.590325,,
28,5.588783,,
29,5.587234,,
30,5.585785,0.834821,0.891270
